,id,name,city,state,zip,rating,review_count,latitude,longitude,categories,url
385,m6Bir9IK4NhKsEgVx3cGLw,"Dermatology and Laser Center - Michelle Ehrlich, MD",Manhattan Beach,CA,90266,2.7,98,33.89400269624032,-118.3962260168798,"Dermatologists, Cosmetic Surgeons",https://www.yelp.com/biz/dermatology-and-laser-center-michelle-ehrlich-md-manhattan-beach-3?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
386,jEvE7BqG-j9oKYlpUphFOw,South Coast MedSpa,Los Angeles,CA,90025,4.7,263,34.0502662,-118.4605410836762,"Laser Hair Removal, Medical Spas, Acne Treatment",https://www.yelp.com/biz/south-coast-medspa-los-angeles-6?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
387,-52V5iueDjLJjKRgJHs27Q,Bella Medical Group & Aesthetics,La Puente,CA,91744,5.0,5,34.0379443,-117.9490098,"Aestheticians, IV Hydration, Laser Hair Removal",https://www.yelp.com/biz/bella-medical-group-and-aesthetics-la-puente?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
388,EvODi-8L84lhrOMC_5FZUg,Women's Hair Wellness,Beverly Hills,CA,90211,1.0,1,34.062843,-118.375804,"Medical Centers, Tattoo Removal, Hair Loss Centers",https://www.yelp.com/biz/womens-hair-wellness-beverly-hills-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
389,6PwVdVAcBaXEqQk8Wuh8dA,Healthy Glow Teni,La Crescenta,CA,91214,5.0,8,34.226722,-118.248557,"Eyelash Service, Skin Care, Tattoo Removal",https://www.yelp.com/biz/healthy-glow-teni-la-crescenta?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
390,VXkw6S8Fi9GBVOZHFjVo6g,Valencia Dermatology,Stevenson Ranch,CA,91381,3.9,286,34.387058,-118.580728,"Dermatologists, Cosmetic Surgeons, Medical Spas",https://www.yelp.com/biz/valencia-dermatology-stevenson-ranch-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
391,DyM0Cn9O31p1d8mq7yaxwg,"Kay Elledge, MD, FACOG",Torrance,CA,90505,3.2,73,33.8152813,-118.3487801,"Obstetricians & Gynecologists, Tattoo Removal, Aestheticians",https://www.yelp.com/biz/kay-elledge-md-facog-torrance-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
392,f72JD8XLp5dPe6ArbwzzWg,"Skinzone Medical: Hannah Vu, MD",Alhambra,CA,91801,2.7,147,34.096363,-118.12807,"Skin Care, Medical Spas, Cosmetic Surgeons",https://www.yelp.com/biz/skinzone-medical-alhambra-3?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
393,5jzo75-fYZhG9MO_UEzfdw,Ive Medical Spa,Los Angeles,CA,90020,4.7,64,34.06737,-118.30892,"Medical Spas, Skin Care, Laser Hair Removal",https://www.yelp.com/biz/ive-medical-spa-los-angeles-5?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
394,MKvgSO3YEv0l4iqKUh7j0Q,Defined Visage,Long Beach,CA,90815,4.6,71,33.788335465545515,-118.12380864460457,"Eyebrow Services, Permanent Makeup, Tattoo Removal",https://www.yelp.com/biz/defined-visage-long-beach?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
395,FhV2G56gxvzzph1OwraNrg,"Reza Babapour, MD",Beverly Hills,CA,90210,4.3,69,34.0689812,-118.4039612,"Dermatologists, Tattoo Removal, Laser Hair Removal",https://www.yelp.com/biz/reza-babapour-md-beverly-hills?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
396,b62D1nK83pqLg9YfMgMxbw,Tash Salon Studios,Pasadena,CA,91104,4.9,82,34.17003363346458,-118.1324977,"Permanent Makeup, Makeup Artists, Tattoo Removal",https://www.yelp.com/biz/tash-salon-studios-pasadena-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
397,1xoexYmjG02lxU_E98m8Zg,South Bay Med Spa,Torrance,CA,90505,4.3,307,33.816759,-118.327752,"Medical Spas, Skin Care, Laser Hair Removal",https://www.yelp.com/biz/south-bay-med-spa-torrance?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
398,auhp7LUSSMGHX674bSw2Ow,SOS Medical Aesthetic,Torrance,CA,90503,3.7,12,33.857824,-118.353163,"Medical Spas, Skin Care, Laser Hair Removal",https://www.yelp.com/biz/sos-medical-aesthetic-torrance?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
399,CCwzlL46aLQWhJPrz8WaRg,"Kian Karimi, MD FACS",Los Angeles,CA,90025,4.8,180,34.042781,-118.469709,"Plastic Surgeons, Cosmetic Surgeons, Surgeons",https://www.yelp.com/biz/kian-karimi-md-facs-los-angeles-8?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
